Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-27,BPCL,EQ,711.2,713.0,726.8,691.3,704.0,704.75,712.84,1911251,136241992270000.0,35603,518461,0.2713
2017-01-30,BPCL,EQ,704.75,706.4,708.0,694.7,706.0,704.65,702.18,976208,68547842220000.01,29913,369580,0.3786
2017-01-31,BPCL,EQ,704.65,705.5,705.5,677.05,681.5,681.65,688.45,2274551,156591536300000.0,48475,1379891,0.6067
2017-02-01,BPCL,EQ,681.65,682.05,697.2,673.2,694.5,692.75,687.43,1842902,126687405140000.02,42719,1102640,0.5982999999999999
2017-02-02,BPCL,EQ,692.75,695.0,713.0,694.4,698.0,701.9,704.62,1594154,112327630395000.0,47868,913792,0.5732
2017-02-03,BPCL,EQ,701.9,701.0,701.8,688.8,701.5,698.6,695.95,1632140,113588687255000.0,46088,663596,0.40659999999999996
2017-02-06,BPCL,EQ,698.6,703.4,711.3,699.0,704.0,705.35,705.81,1210895,85465822130000.0,30484,595900,0.49210000000000004
2017-02-07,BPCL,EQ,705.35,707.7,722.95,704.05,717.5,716.65,716.47,2278978,163282385500000.0,59754,1211548,0.5316
2017-02-08,BPCL,EQ,716.65,718.7,727.0,714.1,718.5,720.5,720.24,2335084,168182634380000.0,47212,1502871,0.6436000000000001
2017-02-09,BPCL,EQ,720.5,725.0,729.0,721.05,725.2,726.85,725.11,1978289,143447219180000.0,34454,1246313,0.63
2017-02-10,BPCL,EQ,726.85,733.0,733.0,712.0,714.0,715.55,717.92,2511349,180294002220000.0,59056,1398463,0.5569
2017-02-13,BPCL,EQ,715.55,715.0,718.9,710.05,712.9,714.55,713.47,965865,68911740570000.01,62671,554321,0.5739
2017-02-14,BPCL,EQ,714.55,716.7,716.8,686.8,691.0,692.05,696.45,1815633,126450651925000.0,65651,906010,0.499
